score,at,content_stemmed
5,2025-01-08 06:32:56,tingkat dev nya
4,2025-01-08 04:55:23,bagus kagak bahasa indonesia
5,2025-01-07 20:47:22,info baik ad
1,2025-01-07 15:49:32,kntl uda msukin no hp vrifikasi kirm kntl
5,2025-01-07 15:43:37,baik ajar bahasa mancanegara
5,2025-01-06 19:24:43,damping handal bisnis kawaaannn
1,2025-01-06 18:05:28,registrasi
5,2025-01-06 13:23:10,bagus manfaat
5,2025-01-06 10:54:52,dapet meme
5,2025-01-06 09:15:12,gatau gabut nge rating
1,2025-01-06 09:06:34,pepeq mati anjg
1,2025-01-06 06:49:40,discordnya seru login emang dsicord gajelas
3,2025-01-06 05:54:41,nya bug telepon main game suara ku dengar lawan bicara
5,2025-01-06 01:32:40,bagus main temen temen
1,2025-01-05 10:35:35,tolong baik pake resend resend woiiiii
5,2025-01-05 08:41:15,tolong login akun tolong baik nama asli abell indo nama udah ganti command block pls tolong
1,2025-01-05 06:59:45,gaje susah atur tolong kurang depeloper
1,2025-01-05 06:28:56,bugnya bgsttt
1,2025-01-05 03:10:59,aplikkasi diacord sgt susah daftar no hp sy daftar no hp sy jg daftar tulisanny no hp tida sgt aneh sy coba daftar no hp mlh no verifny kirim kirim knp kirim pesan butuh verif no hp apliaksi sebal susah orang harap baik
5,2025-01-04 16:26:11,harap update bahasa indonesia game online fitur trading item koin rentan tipu kecuali orang percaya hobi ngegame
5,2025-01-04 16:24:21,senang milik teman teman ngobrol
2,2025-01-04 16:21:52,tolong pebaruin bikin bahasa indonesia
3,2025-01-04 14:22:19,suka ngebug suara kedengeran jaring stabil call ringtone bunyi
1,2025-01-04 14:13:21,bikin aku susah
3,2025-01-04 11:51:49,bug
5,2025-01-04 10:04:55,bagus saran tambahin fitur kategori grup
4,2025-01-04 08:53:44,coba ngak bagus copot
4,2025-01-04 08:22:12,halo guna device handphone buka foto video alami error bagi layar ikut saran developer menginstal ulang muncul moga baik
3,2025-01-04 01:17:30,sedia bahasa indonesia tolong tambah bahasa indonesia
1,2025-01-04 01:05:47,developer udah bahasa indonesia kembang udah tambahin bahasa indonesia contoh kembang
5,2025-01-03 15:46:43,ulas
2,2025-01-03 14:48:13,ubah password password do not match udah pls benerin cok
1,2025-01-03 14:45:08,login dah error mulu min bug nya tolong baik min cepat
1,2025-01-03 13:14:15,susah akun buruk buruk
5,2025-01-03 11:08:38,cocok main kalang
1,2025-01-03 07:21:42,sih sign in pake nomor wa gmail udah selsain step
4,2025-01-03 07:13:56,verifikasi nomor telepon tulis nomor akun milik akun
3,2025-01-03 05:31:21,server peod lagibatuq server pencolay najis
5,2025-01-03 03:55:32,bagus kirim pesan ya kirim pesan tulis pesan kirim
1,2025-01-02 17:13:56,apk sirkel
1,2025-01-02 15:13:07,login udh masukin pasword nya masuk
2,2025-01-02 13:57:05,mandi
1,2025-01-02 13:49:18,aneh udah bikin akun pas lupa password trus ubah tulis this email doesn t exist bikin akun notifikasi pas bikin akun email
5,2025-01-02 12:37:29,udah lihat password nya login
1,2025-01-02 10:56:06,tunggu kode enam digit muncul muncul masuk main akun masuk alas akun sebal benang kusut benang kusut ribet
1,2025-01-02 10:37:27,tulis verifikasi tau kasih nomor telpon situ butuh nomor digit nomor digit tolong baik
3,2025-01-02 10:10:58,tolong baru ken ngechat verifikasi nomor telepon pas memmasukkan nomor telepon download tulis this phone number unable to be associated with this account coba nomor telepon random teman tolong baik
1,2025-01-02 09:58:35,bagus sih tolong ilangin verification required cape banget pas masuk tolong ilangin udah kali akun tolong ilangin
1,2025-01-02 09:26:07,salah tempat icon camera
3,2025-01-02 07:15:01,kasih terjemah
1,2025-01-02 05:40:20,ngedm orang ad verifikasi captcha nge dm ad are you a robot kali udah puluh kali ilang bot coba trading dibloxfruits
5,2025-01-02 05:20:51,kayak whatsapp bagusssssssssssssssss
3,2025-01-02 01:20:34,login nya susah
5,2025-01-01 21:23:30,bahasa indonesia please
1,2025-01-01 16:02:09,latar doang cache udah dibersihin panas drop fps
5,2025-01-01 15:50:27,teman
3,2025-01-01 15:49:35,enak pakeknya bikin akun susah ampun
1,2025-01-01 15:05:27,komputer
5,2025-01-01 14:42:03,bejir keren abiez
1,2025-01-01 14:33:32,tolong baik rate limit akun blokir kali gegara rate limits apa server ikut rugi
4,2025-01-01 13:26:00,hai login no telepon
1,2025-01-01 12:53:51,login password nya sistem busuk
1,2025-01-01 10:55:06,gw dah kasih email ama sandi dah bener tetep emang apk tlol
1,2025-01-01 01:28:46,apk buruk login ngebug pas ganti pw sok sok verifikasi ujung ujung nge bug k l
1,2024-12-31 16:14:54,gabisa login ngentotttt smua salah anjg
1,2024-12-31 15:47:57,kode nya kirim
1,2024-12-31 13:34:54,keluar pas masuk akun this account already regist
5,2024-12-31 13:14:54,bagus keren
1,2024-12-31 11:48:55,susah log
1,2024-12-31 10:44:15,bikin akun pake nomor telpn kirim verify nya code nya ngak kirim nomor udah kasih
1,2024-12-31 06:34:08,hadeh udah ngirim foto hapus pesan
2,2024-12-31 06:16:59,eror tolong proses login pakek akun syaa verifikasi pakek gmail pakek code reset pasword tolong baik
1,2024-12-31 04:42:18,tolong tambah bahasa indonesia
3,2024-12-31 02:39:37,sy kasih bintang karna kalok sy live trus livenya live nya renti kocak
1,2024-12-30 15:51:26,bodoh gara akun kena bobol
1,2024-12-30 15:30:09,sulit login kendala verifikasi email email aktif nomor aktif
1,2024-12-30 14:24:33,bug mic mobile
4,2024-12-30 13:38:46,bagus sometimes apknya ngelag susah connecting youtube tolong baik ya
1,2024-12-30 12:37:14,bug kek pas chat voice suara nya
1,2024-12-30 12:22:46,apa gw daftar dapet kode verifikasi nya nomer wa nya dah bener
1,2024-12-30 12:13:58,tolong baik bug nya jelas join teman hilang pakai wifi link expired kirim pakai kouta internet masuk hasil join langsung tolong baik bug nya guna nyaman
1,2024-12-30 11:45:09,apaansih register gabisa pake nomor email gbisa udh pake email aktif gabisa gajelas
1,2024-12-30 10:59:40,g login salah pasaword mulu udah bener robot apk rusakkk
1,2024-12-30 10:34:58,akun masuk main butuh jam ribet benang kusut hasil sia sia akun main
1,2024-12-30 07:47:25,rusak
1,2024-12-30 05:29:28,ui bagus respon lambat terkadang freeze tolong benah
5,2024-12-30 05:02:57,kelua trs mohon tolong biar mulu pas main game apa
3,2024-12-30 04:38:49,mohon baik bug nya
1,2024-12-29 14:39:23,bug
1,2024-12-29 11:11:15,pencet tunggu umum doang aj susah
3,2024-12-29 08:37:47,ku nyaman sistem voice cuma salah pecet voice normal gin
5,2024-12-29 07:48:12,gitu dah
4,2024-12-29 04:19:12,atas suara dengar plz
1,2024-12-29 03:35:36,jelek banget verrry jelek bet login akun susah banget login email nasib
5,2024-12-29 02:47:59,dc web airasia
5,2024-12-29 02:36:40,apk enak banget sih nyari server jb chat dll gmpng bgttt
5,2024-12-29 02:03:40,mudah mudah bagus ny
3,2024-12-28 22:12:31,udah oke sih cuman gabisa pindahin orang channel gada role sharescreen gada suara huff
1,2024-12-28 16:11:47,bugnya tolong benerin
5,2024-12-28 16:03:30,bicara enak
1,2024-12-28 13:02:08,login nya susah ulang ulang suruh kirim nomer telepon
5,2024-12-28 10:52:16,kayak bagus
1,2024-12-28 09:04:02,sambung akun gim nih maksud nya
5,2024-12-28 08:42:07,oklah
5,2024-12-28 04:59:08,mantull parah ngomong gua
1,2024-12-27 21:27:08,login bag
1,2024-12-27 16:03:03,rusak bug udah verifikasi pake no masuk kode verifikasi nya
5,2024-12-27 11:01:39,bagus keren orang download kasih kayak nyobain nitro basic gitu biar udah tau untung lebih nitro
1,2024-12-27 07:29:53,audio jalan video
1,2024-12-27 06:53:08,gabisa masuk server lag jugaaa
1,2024-12-27 06:30:43,masuk nya gimana
1,2024-12-27 06:20:33,bug ganggu tbtb disconnect suara stream gabisa on cam
1,2024-12-27 04:36:16,gaje ih udh captcha baca nya expired mulu lu makan link expired tolol gin apk ngeselin jdi susah akses nya pake captcha jing
4,2024-12-27 03:50:00,gabung suruh download download
1,2024-12-27 02:15:48,gajelas apknya email udh bener mas gbisa login
1,2024-12-27 00:44:43,coba ayo deh dikit dikit suruh verifikasi udh verifikasi gitu kirim pesan dikit verifikasi ngechat verifikasi udh verifikasi astaga tolong baik males pake
1,2024-12-26 16:46:47,kecewa buruk verifikasi nomor telepon perihal verifikasi rumit ribet jelas perhati edit serius tanggap prosedur rumit
1,2024-12-26 14:37:52,burik kayak baca
1,2024-12-26 07:17:31,susah akun
1,2024-12-26 06:46:31,bintang ku login email daftar
1,2024-12-25 18:07:04,jelek banget login pakai yahoo gbsa lagi
1,2024-12-25 16:29:54,user indonesia bahasa indonesia sampah
5,2024-12-25 15:52:39,bagus
3,2024-12-25 11:15:34,mati main game
1,2024-12-25 08:04:44,bug lu baikin lol bikin bug urusin kode masuk login nya susah pake email gabisa
1,2024-12-25 06:24:17,ken nonton turnamen skolah kgk muncul muncul ya woe knp pdhl udh accept invite jelek ni apk
1,2024-12-25 05:20:57,ribet login konfirmasi email
1,2024-12-25 05:10:40,login verty human kelar bolak
1,2024-12-25 05:08:26,jelek login udah veripikasi email eh pas klik ip adrees kadaluarsa
5,2024-12-25 04:28:05,tau
1,2024-12-25 04:12:32,coba voice langsung crash buka setelahnnya
5,2024-12-24 15:56:09,adakan bahasa indonesia admin hati
4,2024-12-24 15:29:28,mas berat
1,2024-12-24 13:54:34,gimana banget telepon suara nya huu dc hytam
5,2024-12-24 13:00:10,bagus banget
1,2024-12-24 12:55:53,upload file buka dm ribet message eror update buruk server lambat
1,2024-12-24 12:24:55,login akun pakai
3,2024-12-24 09:27:28,tolong tambah bahasa game bahasa indonesia terjemah otomatis
1,2024-12-24 05:22:08,leg login sinyal udah bagus
1,2024-12-24 05:04:42,burik login sandi gmail udah bener
1,2024-12-24 03:40:59,mending ilangin verify pake tebak gambar your not a robot bikin susah bikin akun
5,2024-12-24 01:18:01,tolong kasih fitur mabar minicraft nya simpel kasih bintang
2,2024-12-24 00:36:28,bs tpi email already pre register
1,2024-12-23 15:15:59,udh sabar kali kali kali login ampe ganti akun tetep invalid gilir udh nyelesain fuzzle gw udah login eh menu login
1,2024-12-23 14:58:47,kode verifikasi masuk
5,2024-12-23 13:49:43,momen harga pioner open mainet pi network aset mata uang digital dunia
1,2024-12-23 03:43:31,sinting dunia login akun bikin susah fa aneh hubung hp hp hilang rusak lol
1,2024-12-23 02:43:37,bug up image
1,2024-12-22 23:12:05,sih fitur verify phone kirim kode verifikasi nya
1,2024-12-22 15:18:51,ribet masuk gua
1,2024-12-22 11:41:32,lo suara ih layar lo suara gada temen
1,2024-12-22 11:09:34,susah kali masang akun
1,2024-12-22 10:19:17,akun dc udah nyoba kali kali hp tetep error
1,2024-12-22 10:01:26,pada mw join server motion ime gabisa bug mulu gilaaa tolongg baik
1,2024-12-22 03:29:55,dikit dikit error dikit dikit error apa
1,2024-12-22 03:05:34,kali unable to register sabar besok udah besok bikin coba coba mana akun
5,2024-12-22 02:18:50,kasih sempat pake nomor akun pake nomor telepon pakai nomor gitu sempat pake email gw suruh masukin email versi email biar gw masukin email gw masukin email aneh banget sumpah plis kasih tau slh bikin konten youtube biar tau langsung dc nya langsung plis min
5,2024-12-21 16:31:07,
1,2024-12-21 14:26:31,apk anehh call gada suara samsek
1,2024-12-21 10:27:13,login susah login ribet
1,2024-12-21 10:12:36,gabisa log in akun anjirrr udah pake email password bener udah coba reset password email kirim dc nya username akun pas log in bisaaa opo iki coooo
3,2024-12-21 08:14:42,tambah fitur translate
2,2024-12-21 05:29:22,hilang akun email hapus ganti password akun terima kode website ganti password
5,2024-12-21 04:32:05,bagus chat main cdid roleplay
1,2024-12-21 04:21:52,rusak rusak knp relog gilir login susah salah aduh kecewa udh susah susah login reset suruh login ulang sandi email knp salah
5,2024-12-21 03:53:58,lumayan join dorimos family
1,2024-12-20 17:19:29,apk anjingggg login susah pdhl udh bener sndi email nya bujanginam
1,2024-12-20 16:12:56,tolong kembali ukur meng upload gif versi ukur gif upload ukur layar versi ukur gif layar menganggu visibilitas
5,2024-12-20 12:07:55,bahasa jawa doang
5,2024-12-20 12:04:07,tolong tambah bahasa indonesia polish masuk
2,2024-12-20 09:33:56,pas verify nyuruh tp pas udh sampahhh
4,2024-12-20 09:02:52,guna gammer
1,2024-12-20 07:03:52,suka muncul suara knpsi
1,2024-12-20 06:11:10,sampah anj gw masuk link server nya suruh download gw cari youtube nya ketemu tolong baik lgi
4,2024-12-20 04:44:31,bagus kadang kadang suka ngebug
1,2024-12-20 04:19:29,gua udah masukin sandi email gua tpi mlh salah apa
1,2024-12-20 03:52:18,gajelas login susah ampun
4,2024-12-20 01:51:44,developer tolong baik bug login akun udah masuk akun login verifikasi nya error mohon fix bug nya
1,2024-12-19 19:58:27,hp hang
1,2024-12-19 16:07:02,bagus susah nyariin nyarii grup bikin bingung bagusin tampil trus fitur hapus pesan biar pesan hapus makasih
5,2024-12-19 11:35:46,fitur bagus bug voice menganggu guna
5,2024-12-19 10:15:38,biasaa bagus
5,2024-12-19 08:09:00,guna
5,2024-12-19 06:04:20,nice kali inovasi fungsi okey
1,2024-12-19 04:45:29,kebanyakn pop up muncul bikin stcuk nya pencet
3,2024-12-19 03:38:05,moga tingkat lanjut
5,2024-12-19 00:51:24,bismillah harap gabung jua kavling amg tingkat
5,2024-12-18 23:50:16,seru hangout bareng temen main minecraft game mohon tambah
5,2024-12-18 17:20:11,tambah menu translate cari ketemu
5,2024-12-18 15:25:45,nya bagus kumpul bareng group game lengkap fitur bahasa bahasa indonesia baik update depan
1,2024-12-18 14:51:42,apk jalan pintas selungkuh hati ya gais pasang cek apk
5,2024-12-18 13:55:51,bagus komunikasi cari teman negeri
1,2024-12-18 13:11:30,bajing ngebugkan
1,2024-12-18 10:58:05,daftar susah loading nya
1,2024-12-18 08:15:36,apa ngasih password nomor salah
1,2024-12-18 07:05:10,sorry habis update device nya hilang
1,2024-12-18 05:46:06,all gw gabung bg winda kode gob
3,2024-12-18 05:44:40,email password dah log in new location dll ajg
2,2024-12-18 03:34:51,gada suara
1,2024-12-18 02:46:50,masalah ajg verifikasi error
1,2024-12-17 13:49:53,email sandi nya invalid gambar nya pas dasar o on dongo males buang buang
1,2024-12-17 13:41:44,lawak login g error udah jam g udah bener
1,2024-12-17 12:10:19,jelek banget susah masuk
1,2024-12-17 11:18:21,verifikasi nya complex
2,2024-12-17 08:58:38,log out masuk lagu suruh login mantap
4,2024-12-17 07:50:07,tolong tambah fitur translate tombol chat teks tahan menu translate komunikasi lancar fitur tambah kasih bintang
4,2024-12-17 05:21:53,baguss banget pas stream game hp g suara
5,2024-12-17 04:38:05,baik cmn atas bug delay android atur role channel nya
1,2024-12-17 04:21:45,ngerti pakai
1,2024-12-17 02:22:18,udah masuk email masuk
1,2024-12-17 01:53:30,verifikasi email udah verivikasi no hp gagal
5,2024-12-17 01:52:42,gapapa masuk coba terimakasih
3,2024-12-16 22:22:15,instal
1,2024-12-16 20:04:31,kode verifikasi nya muncul cape gw
1,2024-12-16 15:36:57,tolong kasih pakai bahasa indonesia
1,2024-12-16 08:27:48,robot curiga selesai tugas robot curiga ya bintang tolong baik akun moga update sempurna
3,2024-12-16 08:01:39,hallo kak inc udah laku kak nomor telephone email kak recoverynya data bug nggak nih kak
5,2024-12-16 07:37:37,ulas baikdan tipsnya hasil ralat bintang
4,2024-12-16 05:30:15,bagus sih ya bug nya kayak gakbisa masuk server kirim gambar pokok deh tolong ya benar bug nya
5,2024-12-16 04:09:45,bagus trade
1,2024-12-16 02:09:20,bug nya
5,2024-12-15 21:16:41,saran tambah fitur pause sharescreen mudah guna
3,2024-12-15 15:35:27,nyoba pakai bisa tambahin auto translet biar gampang ngobrol bareng orang
5,2024-12-15 13:00:33,bergunaa
5,2024-12-15 12:14:34,tarik
5,2024-12-15 11:12:30,mantab mabar ngobrol bareng temen temen ketemu
1,2024-12-15 09:25:36,susah login
5,2024-12-15 07:14:30,bagus deh nya
1,2024-12-15 05:42:18,download akun sandi salah tolong baik akun sandi password invalid tolong baik
4,2024-12-15 03:47:56,udah bagus nya pakai coba ngetik butuh detik enak ngetik pesan bebas ya inti tolong developer nya hilangin etik terimakasih
2,2024-12-15 03:46:21,update baru pindah role role layar gerak pindah role rolenya tolong baik login akun log out pencet pencet layar chat teman buka nge freeze tutup kali kali tolong baik ya
1,2024-12-15 02:39:21,pakai akun suka pakai akun
1,2024-12-14 16:34:00,bodoh bug geram hubung sosia media muncul failed connection idiot application
5,2024-12-14 16:23:10,bagus share screen ituu terkadang stream pause tida kendala tolong info ya
4,2024-12-14 16:16:08,bagus pinter banget
1,2024-12-14 12:06:35,ganti pw banget loading nya niat
1,2024-12-14 11:55:14,sih nomer dimasukin kasih code nya udah nunggu tetep kasih code nya
2,2024-12-14 08:34:31,verifikasi email email udh pake
1,2024-12-14 08:03:26,kasih nitro
5,2024-12-14 06:51:58,yaaaa bagus si sdkit dikecilin size nya
5,2024-12-14 04:32:39,ku coba sih kayak bagus bangett
1,2024-12-14 02:19:37,full screen volume suka ngebug kecil
1,2024-12-14 01:50:03,ribet login akun new login location detected taii
1,2024-12-13 13:12:37,orang gila cipta login ya register ny cipta ush bikin kek gin dasar
1,2024-12-13 09:57:14,pliss downloads ya
1,2024-12-13 06:22:23,hapus aj bpak lu are you not human
4,2024-12-13 02:54:53,gatau inti bagus
4,2024-12-13 01:55:22,bagus cuman quest tolong baik quest main pc muncul mobile bikin orang nyaman sekian terimakasih
1,2024-12-13 00:43:17,kode verifikasi nya kadang muncul
3,2024-12-13 00:02:02,bahasa indonesia nya
1,2024-12-12 22:59:05,tolong chat timeoutnya hapus ngak guna
1,2024-12-12 20:57:45,main nya imbang senjata tiam main kacau
1,2024-12-12 16:13:40,server buat eror gajelas
1,2024-12-12 15:11:01,kali sabar tetep gitu aj full screen layar muncul nggak apa in dikit bug ilang jaring lag gitu pdhl jaring bagus tpi kek gitu sabar bngt hadepin kek gin minimal baca min biar rusak
2,2024-12-12 14:43:11,keluar orang nolep
5,2024-12-12 11:40:55,ok login
4,2024-12-12 09:56:52,bagus handphone ngelag nya
2,2024-12-12 06:26:18,bikin bahasa indonesia
5,2024-12-12 02:09:01,bagus masuk
1,2024-12-11 15:18:18,ya login ganti password pencet
3,2024-12-11 14:16:59,login sulit verifikasi nomor telepon sulit nomor telepon akun ku login muncul tulis email does not exist hadehh
5,2024-12-11 13:25:17,maha sia
1,2024-12-11 13:14:15,login sulit
4,2024-12-11 13:13:31,log susah sih bolak email sm knp g langsung isi email trs join
5,2024-12-11 09:53:35,ku sadar sekop sekop
1,2024-12-11 09:44:38,beda akun susah bingung selesai masuk lot jaring kencang cek fps
1,2024-12-11 09:35:33,jwlek
1,2024-12-11 08:43:36,gajelas akun gua kena suspend gegara ngetik
1,2024-12-11 02:47:02,sangatt susah karna verif nomor telpon nomor aktif opsi email akun hilang
5,2024-12-11 00:22:01,suka
1,2024-12-10 10:34:31,bug login benerin oyy
1,2024-12-10 08:35:34,bug sambung akun spotify roblox dll
1,2024-12-10 05:16:58,email udah bener sandi udah bener gabisa login
1,2024-12-10 04:37:30,suka mempermaimkan orang paksa orang pakai menyenagkan facebook telegram wa
3,2024-12-09 14:22:07,ganggu bet nama nih apk bahasa indonesia selisih jir
5,2024-12-09 12:49:48,bagus memnantu
1,2024-12-09 09:16:40,ya bagus minus bagi akun
1,2024-12-09 06:46:44,tolong baik masuk gmail sandi salah ganti sandi akun tolong baik
3,2024-12-09 03:21:32,suara soundboard suara
5,2024-12-08 17:25:32,kece
1,2024-12-08 14:32:04,rusak dah bs kirim pesan sih harap baik bug ya developer
1,2024-12-08 11:44:03,bug isi gmail
1,2024-12-08 09:08:51,peregis
3,2024-12-08 06:17:39,kasih bintang bayak bug telfon temen ku keluar telfon nya
4,2024-12-08 05:30:56,kadang ngebug kirim file gambar
1,2024-12-08 05:06:36,code verification nya terima
5,2024-12-08 03:34:23,apk nya bagus nelpon keluarga
4,2024-12-08 00:34:37,bagus bug notifikasi tampil menu mute mark as read
1,2024-12-07 17:24:44,susah masuk
5,2024-12-07 16:22:10,bagus bagus jam menit cuman login terimakasih bantu kubur mental
5,2024-12-07 16:03:45,bagus chatan
2,2024-12-07 15:59:49,loginnya susah kali stuck verify nomor email artikel udah baca login restart uninstall ku coba min admin
1,2024-12-07 13:20:53,login nya susah banget
5,2024-12-07 10:47:46,seru banget dapet teman
1,2024-12-07 09:26:35,jelek login kali
5,2024-12-07 07:30:47,beguna pvz fusion versi
1,2024-12-07 06:55:09,tolong yh udah ku tunggu menit kasih code digit nya
3,2024-12-07 02:50:03,lumayan main voice game nya l
2,2024-12-07 02:35:31,fitur cari channel bingung cari channelnya
1,2024-12-07 01:15:02,suka disconect gajelas
1,2024-12-06 22:25:12,potong dana
1,2024-12-06 17:18:59,apk ribet kalok ngurusin akun login lupa sandi
1,2024-12-06 13:57:53,login suda login ter kunci dagabar ter kunci busuk apdet pliss
5,2024-12-06 13:22:05,seru gada temen aing
4,2024-12-06 13:02:30,min masuk ya sms nya masuk nomor ponsel
4,2024-12-06 12:56:48,ya dengar music suara kresek kresek web suara tolong bantu
2,2024-12-06 12:08:33,kamera suka mati kali bugnya tolong benerin
5,2024-12-06 12:01:10,bagus bug selesai
3,2024-12-06 11:41:53,tolong tambah bahasa indonesia nya tambah kasih bintang
2,2024-12-06 11:06:41,on mic dengar trus mode tekan suara mohon maaf min benerin
5,2024-12-06 09:54:23,salah akun unable to register based on the information you provided we can t create an account for you right now akun bener tiba muncul nama unable to register baik
2,2024-12-06 09:21:22,susah login nya
5,2024-12-06 03:17:59,bagus nih apk pas mabar patah patah banget mic nya ngak gitu pas main minecraft
1,2024-12-06 01:31:22,tambah bahasa indonesia
1,2024-12-05 17:27:38,apk gajelas login pake nomer hp tpi code verify kunjung apan
2,2024-12-05 15:35:15,pas verify pake nomor wa ngestuck udah kasih tau notifikasi nya kode tolong stuck gabung grup main
2,2024-12-05 11:35:08,brp developer maaf banget udh coba langkah kasih tpi ku bingung butuh kode sms nya masuk kode nya masuk masukk
1,2024-12-05 09:26:59,verifikasi nomer handphone
3,2024-12-05 08:25:02,manfaat
5,2024-12-05 08:22:07,bantu user game
1,2024-12-05 07:43:10,bintang kasih jelek
2,2024-12-05 07:30:58,discrod susah ya daftar discrod verifikasi nomor telpon tolong ya atas nya terima kasih
5,2024-12-05 07:26:20,keren banget mudah komunikasi game
4,2024-12-05 06:24:19,jarang kepake
5,2024-12-05 05:39:32,udah bagus model detail upgrade
4,2024-12-05 02:42:51,apknya bagus cuman suka call dc nya tolong baik
4,2024-12-05 00:10:38,tolong hadir bahasa indonesia sulit paham bahasa inggri lancarr
5,2024-12-04 09:35:12,mantap moga capet
2,2024-12-04 09:20:11,apasih akun verifikasi robot nya kali kali cape ulang ulang mulu
1,2024-12-04 06:16:18,pasu san salah
1,2024-12-04 06:00:30,biar upload video ukur nya bawah mb ukur video mb mb beli nitro
5,2024-12-04 04:22:03,puas rate nitro gratis
5,2024-12-03 23:29:10,alam bagus bagi voice channel fitur soundboard spam suara metal pipe jatuh
5,2024-12-03 14:02:15,thanks mu update bokep baru
1,2024-12-03 11:32:03,bug mohon baik
1,2024-12-03 04:38:31,lag aneh suka respon device poco f gatau clear cache udah install ulang udah
5,2024-12-03 04:35:25,bagus sedikit kah boost free week
1,2024-12-03 04:16:54,apk tolol gua robot
3,2024-12-02 22:08:02,kadang suka error
5,2024-12-02 22:02:05,tolong kasih untu coba boost gratis week
1,2024-12-02 14:31:15,login aman ketat nomor masuk
1,2024-12-02 13:49:24,rusak gua kode verifikasi muncul muncul
3,2024-12-02 11:42:44,error kirim foto file udah coba uninstall tetep
2,2024-12-02 10:53:41,gabisa upload ngirim foto video orang kondisi jaring stabil wifi
1,2024-12-02 10:44:30,hp gua share screen suara nya tolong baik
3,2024-12-02 10:39:16,bagus banget star nunggu pas verifikasi digit kode udah masukin nomor ku plis send kode nya ken masuk servernya world booooxxxxxxxxxxxx pliisisisisiissssss t i o o
5,2024-12-02 09:26:00,batu
5,2024-12-02 06:42:01,bagus simpel
4,2024-12-02 05:51:04,baguss teman negeri mobile android fitur gift decoration temen fitur pc bayar pc erti mobile maksud yaa fitur ditambahin android mobile teman hadiah gituu emang udh kasi tau gimana caranyaa ty
1,2024-12-02 03:53:54,kirim kode pake whatsapp pake sms anjay
2,2024-12-02 01:56:24,download login ribet ingat manusia robot captca nya muncul muncul auto login
5,2024-12-01 18:20:05,ngeleh men
1,2024-12-01 18:16:01,ni dah su gw udah connect in akun youtube connection lost gagal udah ulang kali nyoba tetep hasil benerin sinyal gw bagus bagus failed trus dongo
1,2024-12-01 15:21:12,discrod rusak udah login babarapa akun tetep pake nomor jga nunggu kode nya banget
1,2024-12-01 15:09:12,menginstal ambil saldo biadab
1,2024-12-01 14:21:55,susah kali login nya salah masukin password email bener masukin password email pakai nomor telepon
1,2024-12-01 12:17:24,malesin detect bot code masuk sampe susah verify
1,2024-12-01 11:54:24,masuk nomor telepon sesuai nomor nya donwload ulang
1,2024-12-01 09:09:24,buset login pakai dc pas web pc bikin login disusahin
1,2024-12-01 08:30:02,banyak konfirmasi ai bacot banget login doang susah
3,2024-12-01 07:52:50,bagus bugnya chat keload jaring bagus on mic mohon baik terimakasih
2,2024-12-01 03:02:34,sih skrg susah daftar kayak masukin verifikasi udah bener mulu
1,2024-11-30 19:07:28,klw manusia ikut rules apk tolol x ngulang ngulang hasil jngn apk klw ndak beda manusia robot
1,2024-11-30 19:06:26,tolong diperbaikin verif nomernya
1,2024-11-30 17:47:33,payah
3,2024-11-30 17:44:07,gua masuk dc slalu bang udh bulak download
1,2024-11-30 16:34:19,hp restart buka voice menit
1,2024-11-30 16:22:03,apk pilih gambar bikin akun gimana si gua udah betull
1,2024-11-30 13:40:30,jelek anj lu nomor la email la hadehh serah tolol bikin mood gua ubah snj
5,2024-11-30 13:36:21,kelas wir
5,2024-11-30 13:15:27,good apk mudah informasi
4,2024-11-30 12:43:36,chat teman
2,2024-11-30 10:46:13,controlling editing channel delay on android pc aman
1,2024-11-30 07:23:52,layar penuh
4,2024-11-30 06:54:38,download download pvz fusion akuuu
1,2024-11-30 02:16:55,bagus putar video youtube putar video loading coba masuk layar hitam tolong baik
3,2024-11-30 00:21:08,dc hubung youtube ya gagal
5,2024-11-29 22:01:04,mantap
5,2024-11-29 16:04:07,neng sih apk dapet temen mabar deh main
1,2024-11-29 15:58:52,gua masuk nggak masuk masuk
1,2024-11-29 14:10:51,apk nya on mic suara org
1,2024-11-29 13:25:10,apk te sya te masuk akun ku ulang
5,2024-11-29 13:21:14,aduh gantengnyaa
2,2024-11-29 12:49:27,gagal sinyal pake wifi
1,2024-11-29 12:14:36,gimana ya pas main game gabisa fullscreen
5,2024-11-29 11:37:53,ajar
1,2024-11-29 09:45:01,ll daftar susah
1,2024-11-29 08:01:19,nautin nomor nerima kode nya nomor nya digunain emang jelass cepat baik ikut langkah langkah tuduh proxy vpn download pikir pikir gonta ganti akun hasil emang udah rusak
5,2024-11-29 06:32:04,ya bagus bagus sih
1,2024-11-29 06:02:58,masukin akun masukin udah bener ngapain lu login paket gua habis donglot
1,2024-11-29 03:27:39,maaf apk masuk tulis unabel to register pls baik
1,2024-11-28 16:46:41,share screen gw gepeng jir user samsung
1,2024-11-28 14:49:23,tolong baik bug
1,2024-11-28 13:22:05,sampahhh jelek banget busuk gw login pake email gw coba aneh banget kali diliatin gw cape ngurusinnya
2,2024-11-28 09:40:58,tolong baik bug voice cuman layar landscape
4,2024-11-28 04:45:05,bahasa indonesia
5,2024-11-27 23:47:34,baik adakan tampil auto translate chat
1,2024-11-27 15:55:57,kek iat udah ganti nomer otp busuk
